nif_anon,archive_url
FIRM_0000,http://web.archive.org/web/20170601235022/http://www.mercadona.es/
FIRM_0001,http://web.archive.org/web/20140609011044/http://www.repsol.com/
FIRM_0002,http://web.archive.org/web/20170603221058/https://www.repsol.es/
FIRM_0003,http://web.archive.org/web/20170629170840/https://www.inditex.com/
FIRM_0004,http://web.archive.org/web/20170603010113/https://www.endesa.com/
FIRM_0005,http://web.archive.org/web/20170601213052/http://www.seat.es:80/
FIRM_0006,http://web.archive.org/web/20170601171343/http://www.elcorteingles.es/
FIRM_0007,http://web.archive.org/web/20170602195415/https://www.iberdrola.es/
FIRM_0008,http://web.archive.org/web/20140609011044/http://www.repsol.com/
FIRM_0009,http://web.archive.org/web/20170609001330/http://engie.es:80/
FIRM_0010,http://web.archive.org/web/20170602012643/https://www.carrefour.es/
FIRM_0011,http://web.archive.org/web/20160120160649/http://www.telefonica.com/
FIRM_0012,http://web.archive.org/web/20170601190532/http://www.ford.es/
FIRM_0013,http://web.archive.org/web/20170602004019/http://www.bp.com/
FIRM_0014,http://web.archive.org/web/20170928141427/https://www.mercedes-benz.es/
FIRM_0015,http://web.archive.org/web/20170526225146/http://www.petronor.eus:80/
FIRM_0016,http://web.archive.org/web/20170601183750/http://www.renault.es:80/
FIRM_0017,http://web.archive.org/web/20170601224541/http://www.iberia.com/
FIRM_0018,http://web.archive.org/web/20160115153758/http://www.telefonica.es/
FIRM_0019,http://web.archive.org/web/20170602044224/https://www.iberdrola.com/
FIRM_0020,http://web.archive.org/web/20180105052337/http://naturgy.com/
FIRM_0021,http://web.archive.org/web/20161002050400/http://endesa.es/
FIRM_0022,http://web.archive.org/web/20170601181236/http://www.alcampo.es:80/
FIRM_0023,http://web.archive.org/web/20170602011251/http://www.orange.es/
FIRM_0024,http://web.archive.org/web/20170603210324/http://pan-energy.com/
FIRM_0025,http://web.archive.org/web/20170601233926/http://www.movistar.es:80/
FIRM_0026,http://web.archive.org/web/20170602132154/https://www.cepsa.com/
FIRM_0027,http://web.archive.org/web/20120620103155/http://www2.audi.es/
FIRM_0028,http://web.archive.org/web/20170601142023/http://www.airbus.com/
FIRM_0029,http://web.archive.org/web/20170619121524/https://www.cofares.es/
FIRM_0030,http://web.archive.org/web/20170603205755/http://vw-navarra.es/
FIRM_0031,http://web.archive.org/web/20170602003936/http://www.renfe.com/
FIRM_0032,http://web.archive.org/web/20170629170840/https://www.inditex.com/
FIRM_0033,http://web.archive.org/web/20170602132103/http://www.leroymerlin.es/
FIRM_0034,http://web.archive.org/web/20170417125442/http://www.iberdrolaespana.es/
FIRM_0035,http://web.archive.org/web/20170619194916/https://www.vueling.com/
FIRM_0036,http://web.archive.org/web/20170603205441/https://www.quironsalud.es/
FIRM_0037,http://web.archive.org/web/20170531075446/http://www.michelin.es/
FIRM_0038,http://web.archive.org/web/20080907183638/http://www.iveco.com/
FIRM_0039,http://web.archive.org/web/20170603213717/https://www.toyota.es/
FIRM_0040,http://web.archive.org/web/20170507121749/http://bidafarma.es:80/
FIRM_0041,http://web.archive.org/web/20170602132154/https://www.cepsa.com/
FIRM_0042,http://web.archive.org/web/20130816025215/http://iberdrolageneracion.com
FIRM_0043,http://web.archive.org/web/20140609011044/http://www.repsol.com/
FIRM_0044,http://web.archive.org/web/20170527224109/http://www.vodafone.es/
FIRM_0045,http://web.archive.org/web/20170606120126/http://www.atlantic-copper.es/
FIRM_0046,http://web.archive.org/web/20170614163319/http://www.grupobidafarma.com:80/
FIRM_0047,http://web.archive.org/web/20170603105843/http://www.acciona-construccion.com/
FIRM_0048,http://web.archive.org/web/20140209025443/http://www.amrest.eu/
FIRM_0049,http://web.archive.org/web/20170602041438/https://www.mediamarkt.es/
